search,author_name,university
Allodi I,Allodi I,UAB
Alvarez-Palomo AB,Alvarez-Palomo AB,UAB
Arbat-Plana A,Arbat-Plana A,UAB
Auladell C,Auladell C,UB
Batty NJ,Batty NJ,UofA
Beaudry E,Beaudry E,UofA
Bennett DJ,Bennett DJ,UofA
Biernaskie J,Biernaskie J,UofA
Bixby JL,Bixby JL,UCSF
Bufler P,Bufler P,UAB
Callahan A,Callahan A,UCSF
Carulla P,Carulla P,UAB
Coll-Miro M,Coll-Miro M,UAB
Corona-Quintanilla DL,Corona-Quintanilla DL,UAB
Dahlby J,Dahlby J,UofA
del Rio JA,del Rio JA,UAB
del Valle J,del Valle J,UAB
Dinarello CA,Dinarello CA,UAB
Duque D,Duque D,UB
Edel MJ,Edel MJ,UAB
Fenrich K OR Fenrich KK,Fenrich KK,UofA
Ferguson AR,Ferguson AR,UCSF
Forero J,Forero J,UofA
Fores J,Fores J,UAB
Fouad K,Fouad K,UofA
Francos-Quijorna I,Francos-Quijorna I,UAB
Fuhrmann T,Fuhrmann T,UofA
Garcia-Alias G,Garcia-Alias G,UAB
Gasull X,Gasull X,UAB
Gavin R,Gavin R,UAB
Gonzalez-Perez F OR Gonzalez F,Gonzalez-Perez F,UAB
Grethe JS,Grethe JS,UCSF
Hernandez J,Hernandez J,UAB
Jakeman LB,Jakeman LB,UCSF
Junyent F,Junyent F,UB
Krajacic A,Krajacic A,UofA
Lemmon VP,Lemmon VP,UCSF
Lopez-Serrano C,Lopez-Serrano C,UAB
Lopez-Vales R,Lopez-Vales R,UAB
Lucas-Osma AM,Lucas-Osma AM,UofA
Magnuson DSK,Magnuson DSK,UofA
Martone ME,Martone ME,UCSF
Matamoros-Angles A,Matamoros-Angles A,UAB
May Z,May Z,UofA
Moreno-Flores MT,Moreno-Flores MT,UAB
Navarro X,Navarro X,UAB
Nielson JL,Nielson JL,UCSF
Nocentini S,Nocentini S,UAB
Popovich PG,Popovich PG,UofA
Raposo P,Raposo P,UofA
Redondo-Castro E,Redondo-Castro E,UAB
Reginensi D,Reginensi D,UAB
Requena J,Requena J,UAB
Romero R,Romero R,UB
Samitier J,Samitier J,UAB
Santos-Nogueira E,Santos-Nogueira E,UAB
Santos D,Santos D,UAB
Schmidt E OR Schmidt EKA,Schmidt EKA,UofA
Schwab JM,Schwab JM,UCSF
Seira O,Seira O,UAB
Serra-Picamal X,Serra-Picamal X,UAB
Shoichet M,Shoichet M,UofA
Stykel MG,Stykel MG,UofA
Taylor-Burds C,Taylor-Burds C,UCSF
Tetzlaff W,Tetzlaff W,UCSF
Torres-Espin A,Torres-Espin A,UCSF
Trepat X,Trepat X,UAB
Udina E,Udina E,UAB
Utrera J,Utrera J,UB
Vallejo C,Vallejo C,UAB
Vavrek R,Vavrek R,UofA
Wandosell F,Wandosell F,UAB
